Campaign Name,Status,Goal Value,Goal Type,Lifetime Budget,Daily Budget,Media Cost,Overall Pacing,Total Projected Spend,Daily Spend Needed,Spent Yesterday,Bidding,Flight Date Start,Flight Date End,Flight ID,Impressions,Clicks,Convs,eCPM,CTR,CVR,eCPC,eCPA,eCPE,Average Time (Seconds),Average Time,# GA Views,# GA Sessions,GA Bounce Rate,GA Average Session Time,# GA Goal Completions,GA Goal Conversion Rate,GA4 Unique Visits,GA4 Bounce Rate,GA4 Sessions,GA4 Engaged Sessions,GA4 Average Session Duration,Total Time (Seconds),Total Time,15s Engagements (LP),View %,Video Started,25% VC,50% VC,75% VC,Video Completed,Video Completion Rate,eCPCV,Impressions Viewed,Impressions Measurable,Unique Impressions,Conversion Revenue,ROAS,Frequency,Secondary Conversions,Click Secondary Conversions,Click Conv,Impression Secondary Conversions,Imp Conv,Audio Started,25% AC,50% AC,75% AC,Audio Completed,Audio Completion Rate,eCPCL,IP Conv,Cookie Conv,Companion Banner Viewed,CPD Media Cost,Click CVR,Impression CVR,MLOT,Projected Daily Spend
Le couple en quête de déconnexion_Native Ad,Live,"Scale (Budget Delivery): N/A, CTR: 1%","Scale (Budget Delivery), CTR","€3,750.00",,€913.74,99.63%,3736012144.0,€42.33,€42.12,€3.80 CPM,2026/03/19,2026/06/15,3214119,"252,311","2,401",0,€3.62,0.95%,0.00%,€0.38,n/a,n/a,n/a,0s,0,0,n/a,n/a,0,n/a,0,0.00%,0,0,0,n/a,0s,0,65.29%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"29,242","44,791","83,636",€0.00,0.00%,3.02,0,0,0,0,0,0,0,0,0,0,0.00%,€0.00,0,0,0,n/a,0.00%,0.00%,€13.99,41.993562
Le couple en quête de déconnexion_Display Ad,Live,"Scale (Budget Delivery): N/A, CTR: 0%, Unique Reach: N/A","Scale (Budget Delivery), CTR, Unique Reach",€750.00,,€183.69,100.00%,750000000.0,€8.45,€8.49,€4.80 CPM,2026/03/19,2026/06/15,3197652,"44,596",103,0,€4.12,0.23%,0.00%,€1.78,n/a,n/a,n/a,0s,0,0,n/a,n/a,0,n/a,0,0.00%,0,0,0,n/a,0s,0,62.70%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"9,893","15,778","24,761",€0.00,0.00%,1.8,0,0,0,0,0,0,0,0,0,0,0.00%,€0.00,0,0,0,n/a,0.00%,0.00%,€0.00,8.849676
La famille exploratrice_Display Ad,Live,"Scale (Budget Delivery): N/A, CTR: 0%, Unique Reach: N/A","Scale (Budget Delivery), CTR, Unique Reach",€750.00,,€179.06,100.00%,750000000.0,€8.52,€8.59,€4.80 CPM,2026/03/19,2026/06/15,3196911,"43,597",120,0,€4.11,0.28%,0.00%,€1.49,n/a,n/a,n/a,0s,0,0,n/a,n/a,0,n/a,0,0.00%,0,0,0,n/a,0s,0,65.78%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,538","16,020","29,704",€0.00,0.00%,1.47,0,0,0,0,0,0,0,0,0,0,0.00%,€0.00,0,0,0,n/a,0.00%,0.00%,€0.00,9.450369
La famille exploratrice_Native Ad,Live,"Scale (Budget Delivery): N/A, CTR: 1%","Scale (Budget Delivery), CTR","€3,750.00",,€915.88,100.00%,3750000000.0,€42.30,€42.39,€3.80 CPM,2026/03/19,2026/06/15,3195347,"250,649","2,437",0,€3.65,0.97%,0.00%,€0.38,n/a,n/a,n/a,0s,0,0,n/a,n/a,0,n/a,0,0.00%,0,0,0,n/a,0s,0,65.52%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"25,222","38,494","119,163",€0.00,0.00%,2.1,0,0,0,0,0,0,0,0,0,0,0.00%,€0.00,0,0,0,n/a,0.00%,0.00%,€0.00,42.427252
