"Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Domains","App Title","Channel Type","Channel Subtype","Media Cost","Third-Party CPM Fee","Third-Party CPC Fee","Impressions","Clicks","Conversions","eCPM","CTR","CVR","eCPC","eCPA","Secondary Conversions","Conversion Revenue","ROAS","eCPE","eCPA (Secondary)"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","capital.fr","","Native","Standard","€5,81 ","€0,00 ","€0,00 ","1 603","9","0","€3,62 ","0,56%","0,00%","€0,65 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","bibamagazine.fr","","Display","Standard","€1,19 ","€0,00 ","€0,00 ","280","1","0","€4,26 ","0,36%","0,00%","€1,19 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","tripadvisor.fr","","Display","Standard","€0,02 ","€0,00 ","€0,00 ","6","0","0","€4,07 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","femmeactuelle.fr","","Native","Standard","€41,48 ","€0,00 ","€0,00 ","11 329","177","0","€3,66 ","1,56%","0,00%","€0,23 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","welovetennis.fr","","Display","Standard","€0,38 ","€0,00 ","€0,00 ","100","0","0","€3,78 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","paruvendu.fr","","Native","Standard","€0,32 ","€0,00 ","€0,00 ","89","0","0","€3,63 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","allocine.fr","","Display","Standard","€5,21 ","€0,00 ","€0,00 ","1 342","1","0","€3,88 ","0,07%","0,00%","€5,21 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","femmeactuelle.fr","","Display","Standard","€3,87 ","€0,00 ","€0,00 ","999","0","0","€3,88 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","750g.com","","Display","Standard","€0,04 ","€0,00 ","€0,00 ","9","0","0","€4,68 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","lesechos.fr","","Native","Standard","€0,13 ","€0,00 ","€0,00 ","35","0","0","€3,68 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
